OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
629,52.41652,0.14536,282000,546000,1.6,1.8,2.1,4,4.9,7.8,4.8,6.1,11.3,6.7,10.3,13.2,9.2,12.6,17.4,13.5,16.8,25.3,22,26.5,37.6,386527769.774761,78641.3300590131
630,52.41319,0.32165,282000,558000,1.6,1.8,2,3.9,4.7,7.3,4.5,5.8,11,6.5,9.9,13,8.9,12.4,17.3,13.1,16.9,25.9,22.3,26.4,38.2,386434490.397659,78631.8396060451
631,52.4096,0.49791,282000,570000,1.5,1.8,1.8,3.6,4.8,7.2,4.3,5.6,10.8,6,9.8,12.5,8.8,12.4,17.2,12.9,16.6,25.1,22.2,26.1,37.4,386336351.394623,78621.8541792293
632,52.40574,0.67413,282000,582000,1.2,1.4,1.8,3.2,4,6.6,4,4.9,9.9,5.1,8.4,11.2,7.6,10.9,15.3,11,14.6,22.4,19.1,23.3,34.5,386226361.077454,78610.6613113816
633,52.40162,0.85031,282000,594000,1.1,1.3,1.4,2.9,3.8,6.2,3.2,5,9.4,5.1,8.4,11,7.7,10.5,15.2,11.1,14.3,22.4,19.2,23.2,34.1,386112924.856201,78599.1166458401
634,52.39724,1.02645,282000,606000,0.8,0.9,1.2,2.6,3.2,5.2,2.8,4.4,8.5,4.4,7.7,10.1,6.4,9.6,14.2,10,13.3,21.4,18,21.7,33.1,385991898.322754,78586.7984504416
635,52.3926,1.20254,282000,618000,0.6,0.7,1,2.2,2.9,4.8,2.6,4.2,8,4.1,6.8,9.6,5.8,8.9,13.5,9.4,12.7,20.4,16.9,20.5,31,385864173.223938,78573.7946469507
636,52.3877,1.37858,282000,630000,0.4,0.6,0.7,1.8,2.5,4.7,2,3.4,7.2,3.4,6.1,8.2,5.3,8,11.4,8.2,11.6,17.1,14.9,18.6,27.8,385729049.379944,78560.0359199955
637,52.38253,1.55456,282000,642000,0.2,0.3,0.4,1,1.6,3.6,1,2.3,5.1,2.4,4.3,5.8,3.9,6.2,8.3,6,9.5,13.4,11.9,15.2,23.9,385578981.543213,78544.7529178431
638,52.3771,1.7305,282000,654000,0,0.1,0.2,0.3,0.8,1.7,0.4,1.1,2.7,1,2,3.4,1.6,2.7,4.1,2.4,5.6,8,7,9.9,16.4,385431301.6427,78529.7092400367
639,52.52532,-4.09453,294000,258000,0.2,0.2,0.2,0.6,1.1,2,0.8,1.3,2.2,1.3,1.7,2.2,1.5,1.8,3,2,3.2,6.2,4.7,5.9,11.4,388442422.019531,78835.8613005525
640,52.52832,-3.91777,294000,270000,0.1,0.2,0.2,0.6,1,2,0.6,1.3,2,0.9,1.5,2.2,1.1,1.5,2.9,1.8,3,5.7,4.3,5.5,11,388523902.377686,78844.1292694806
641,52.53105,-3.74097,294000,282000,0,0.1,0.1,0.3,0.6,1.2,0.4,0.7,1.3,0.5,0.8,1.3,0.6,0.9,2,1,2,3.9,3.1,4.2,8.5,388601658.963135,78852.0182931096
642,52.53352,-3.56414,294000,294000,0,0.1,0.2,0.4,0.7,1.8,0.5,0.9,1.7,0.8,1.1,2,0.9,1.5,2.9,1.7,2.6,4.8,4.3,5.5,11.6,388673992.125488,78859.3564063987
